Date,Close/Last,Volume,Open,High,Low
07/23/2024,$2.13,12788090,$1.99,$2.18,$1.95
07/22/2024,$2.00,10091220,$2.01,$2.04,$1.92
07/19/2024,$1.96,23368730,$1.96,$2.02,$1.86
07/18/2024,$2.06,12829730,$2.23,$2.26,$2.025
07/17/2024,$2.16,19823760,$2.27,$2.44,$2.12
07/16/2024,$2.37,25354030,$2.22,$2.40,$2.22
07/15/2024,$2.18,23996810,$2.21,$2.22,$2.05
07/12/2024,$2.20,32036390,$1.96,$2.22,$1.955
07/11/2024,$1.94,18180730,$1.92,$2.0293,$1.89
07/10/2024,$1.91,12052920,$1.77,$1.92,$1.745
07/09/2024,$1.77,11810740,$1.86,$1.86,$1.71
07/08/2024,$1.86,10824180,$1.82,$1.88,$1.78
07/05/2024,$1.83,14960430,$1.65,$1.83,$1.61
07/03/2024,$1.66,23299980,$1.47,$1.68,$1.46
07/02/2024,$1.43,20670890,$1.50,$1.63,$1.40
07/01/2024,$1.48,6572813,$1.50,$1.53,$1.45
06/28/2024,$1.51,53074420,$1.51,$1.53,$1.45
06/27/2024,$1.51,13109810,$1.40,$1.53,$1.39
06/26/2024,$1.40,15532010,$1.34,$1.41,$1.30
06/25/2024,$1.29,14243120,$1.41,$1.41,$1.28
06/24/2024,$1.39,8354576,$1.42,$1.42,$1.38
06/21/2024,$1.42,27577050,$1.49,$1.49,$1.35
06/20/2024,$1.50,13117140,$1.52,$1.54,$1.49
06/18/2024,$1.50,21851750,$1.67,$1.67,$1.4801
06/17/2024,$1.65,9856931,$1.66,$1.71,$1.65
06/14/2024,$1.69,11115510,$1.72,$1.72,$1.6701
06/13/2024,$1.72,7958753,$1.86,$1.86,$1.72
06/12/2024,$1.81,18946300,$1.85,$1.97,$1.79
06/11/2024,$1.79,9360753,$1.77,$1.80,$1.74
06/10/2024,$1.78,7404024,$1.75,$1.83,$1.75
06/07/2024,$1.80,9301864,$1.75,$1.835,$1.73
06/06/2024,$1.83,18268270,$1.71,$1.83,$1.64
06/05/2024,$1.73,23287470,$1.68,$1.78,$1.64
06/04/2024,$1.68,9462362,$1.63,$1.69,$1.61
06/03/2024,$1.65,9432842,$1.72,$1.76,$1.61
05/31/2024,$1.68,25049990,$1.77,$1.795,$1.63
05/30/2024,$1.76,10907630,$1.67,$1.78,$1.65
05/29/2024,$1.64,6733544,$1.68,$1.685,$1.63
05/28/2024,$1.71,10472690,$1.76,$1.79,$1.67
05/24/2024,$1.78,8736428,$1.75,$1.78,$1.70
05/23/2024,$1.72,9761724,$1.84,$1.84,$1.68
05/22/2024,$1.80,12007550,$1.76,$1.90,$1.75
05/21/2024,$1.74,13779320,$1.75,$1.78,$1.70
05/20/2024,$1.77,8982682,$1.91,$1.92,$1.76
05/17/2024,$1.91,12044770,$1.87,$1.93,$1.81
05/16/2024,$1.86,7886412,$1.86,$1.89,$1.79
05/15/2024,$1.89,9889786,$1.91,$1.95,$1.84
05/14/2024,$1.85,28285890,$1.83,$2.06,$1.80
05/13/2024,$1.72,12763030,$1.52,$1.72,$1.52
05/10/2024,$1.53,11006460,$1.70,$1.71,$1.52
05/09/2024,$1.69,12802660,$1.74,$1.76,$1.65
05/08/2024,$1.74,11446690,$1.70,$1.74,$1.66
05/07/2024,$1.76,14420100,$1.77,$1.86,$1.74
05/06/2024,$1.78,19956170,$1.65,$1.79,$1.64
05/03/2024,$1.66,17511680,$1.58,$1.68,$1.54
05/02/2024,$1.52,10170960,$1.50,$1.53,$1.41
05/01/2024,$1.42,13433620,$1.36,$1.53,$1.34
04/30/2024,$1.33,7689798,$1.31,$1.36,$1.28
04/29/2024,$1.33,7518646,$1.29,$1.39,$1.29
04/26/2024,$1.27,9948668,$1.26,$1.31,$1.23
04/25/2024,$1.26,8375085,$1.27,$1.29,$1.22
04/24/2024,$1.29,9705903,$1.35,$1.39,$1.29
04/23/2024,$1.34,13000030,$1.34,$1.44,$1.33
04/22/2024,$1.36,19548890,$1.36,$1.36,$1.21
04/19/2024,$1.36,7896833,$1.34,$1.40,$1.34
04/18/2024,$1.38,9994716,$1.40,$1.46,$1.34
04/17/2024,$1.40,16025660,$1.50,$1.53,$1.40
04/16/2024,$1.50,11606240,$1.56,$1.57,$1.50
04/15/2024,$1.58,7979310,$1.61,$1.62,$1.57
04/12/2024,$1.61,9082452,$1.64,$1.68,$1.60
04/11/2024,$1.65,9072645,$1.67,$1.695,$1.63
04/10/2024,$1.66,15085650,$1.71,$1.72,$1.64
04/09/2024,$1.77,17946400,$1.82,$1.85,$1.70
04/08/2024,$1.85,7628527,$1.82,$1.91,$1.81
04/05/2024,$1.83,6646832,$1.79,$1.85,$1.78
04/04/2024,$1.82,10595480,$1.85,$1.93,$1.81
04/03/2024,$1.83,17532420,$1.73,$1.85,$1.69
04/02/2024,$1.74,10909220,$1.77,$1.78,$1.72
04/01/2024,$1.82,18855750,$1.90,$1.915,$1.77
03/28/2024,$1.90,17190410,$1.85,$1.94,$1.84
03/27/2024,$1.90,16459770,$1.76,$1.91,$1.7411
03/26/2024,$1.74,11989670,$1.75,$1.79,$1.73
03/25/2024,$1.73,18439560,$1.75,$1.87,$1.70
03/22/2024,$1.74,16495770,$1.84,$1.85,$1.72
03/21/2024,$1.89,12823480,$1.84,$1.92,$1.80
03/20/2024,$1.83,11395650,$1.72,$1.85,$1.68
03/19/2024,$1.71,9316904,$1.69,$1.73,$1.64
03/18/2024,$1.72,12350390,$1.71,$1.75,$1.65
03/15/2024,$1.68,29899690,$1.70,$1.72,$1.62
03/14/2024,$1.69,17053470,$1.79,$1.80,$1.66
03/13/2024,$1.78,12341700,$1.80,$1.88,$1.77
03/12/2024,$1.83,15591310,$1.93,$1.93,$1.81
03/11/2024,$1.92,11672900,$1.90,$2.03,$1.88
03/08/2024,$1.92,14875660,$1.95,$2.04,$1.90
03/07/2024,$1.95,10358430,$1.93,$2.00,$1.90
03/06/2024,$1.93,25775120,$1.89,$1.96,$1.80
03/05/2024,$2.00,18996660,$2.01,$2.0599,$1.95
03/04/2024,$2.07,12317630,$2.12,$2.13,$1.98
03/01/2024,$2.08,10523690,$2.09,$2.14,$2.01
02/29/2024,$2.07,13358080,$2.05,$2.15,$2.01
02/28/2024,$1.99,8929231,$1.99,$2.065,$1.95
02/27/2024,$2.01,9941944,$1.98,$2.04,$1.96
02/26/2024,$1.96,10835760,$1.92,$2.02,$1.88
02/23/2024,$1.90,12442060,$1.95,$1.96,$1.88
02/22/2024,$1.92,14917980,$2.00,$2.02,$1.91
02/21/2024,$1.93,16497340,$2.10,$2.10,$1.93
02/20/2024,$2.06,13845280,$2.12,$2.22,$2.05
02/16/2024,$2.14,11819320,$2.18,$2.26,$2.13
02/15/2024,$2.25,13781870,$2.30,$2.37,$2.18
02/14/2024,$2.32,19559870,$2.19,$2.33,$2.1802
02/13/2024,$2.06,12469570,$2.12,$2.15,$2.03
02/12/2024,$2.27,19009230,$2.14,$2.37,$2.14
02/09/2024,$2.15,11391430,$2.13,$2.21,$2.065
02/08/2024,$2.10,13004250,$1.96,$2.13,$1.94
02/07/2024,$1.95,10102360,$2.02,$2.07,$1.91
02/06/2024,$2.02,10391710,$1.90,$2.02,$1.85
02/05/2024,$1.88,10513130,$1.97,$1.98,$1.86
02/02/2024,$1.99,9588579,$2.00,$2.03,$1.95
02/01/2024,$2.05,16059900,$2.00,$2.07,$1.94
01/31/2024,$1.90,17231100,$1.94,$2.10,$1.89
01/30/2024,$1.94,8787248,$2.01,$2.02,$1.93
01/29/2024,$2.04,13104270,$1.94,$2.06,$1.86
01/26/2024,$1.94,7232601,$1.97,$2.05,$1.92
01/25/2024,$1.96,13311120,$2.00,$2.06,$1.87
01/24/2024,$2.03,16003480,$2.24,$2.28,$2.01
01/23/2024,$2.16,22590020,$2.04,$2.18,$2.01
01/22/2024,$1.96,26403470,$1.79,$2.04,$1.78
01/19/2024,$1.74,25110300,$1.64,$1.76,$1.56
01/18/2024,$1.65,20120950,$1.74,$1.78,$1.575
01/17/2024,$1.72,18985910,$1.76,$1.77,$1.65
01/16/2024,$1.80,17064940,$1.90,$1.90,$1.78
01/12/2024,$1.90,13220750,$2.01,$2.07,$1.89
01/11/2024,$2.01,25859290,$1.98,$2.04,$1.86
01/10/2024,$1.94,23301830,$2.14,$2.14,$1.94
01/09/2024,$2.13,11673100,$2.22,$2.27,$2.11
01/08/2024,$2.23,13573720,$2.24,$2.27,$2.14
01/05/2024,$2.23,12777300,$2.10,$2.29,$2.06
01/04/2024,$2.11,12667540,$2.07,$2.18,$2.03
01/03/2024,$2.06,15023340,$2.16,$2.16,$2.03
01/02/2024,$2.17,13233910,$2.30,$2.35,$2.17
12/29/2023,$2.34,13324870,$2.40,$2.41,$2.32
12/28/2023,$2.42,20889100,$2.46,$2.52,$2.36
12/27/2023,$2.48,14562050,$2.52,$2.53,$2.445
12/26/2023,$2.49,17804480,$2.50,$2.68,$2.4742
12/22/2023,$2.47,13453390,$2.42,$2.54,$2.37
12/21/2023,$2.44,18679070,$2.58,$2.63,$2.34
12/20/2023,$2.48,15143720,$2.61,$2.74,$2.48
12/19/2023,$2.63,16043840,$2.71,$2.78,$2.60
12/18/2023,$2.68,13468250,$2.73,$2.79,$2.63
12/15/2023,$2.72,38339690,$3.02,$3.13,$2.60
12/14/2023,$2.90,36942020,$2.51,$2.92,$2.51
12/13/2023,$2.40,16476880,$2.21,$2.42,$2.145
12/12/2023,$2.22,17364630,$2.31,$2.32,$2.12
12/11/2023,$2.33,14609840,$2.31,$2.37,$2.23
12/08/2023,$2.35,25658530,$2.23,$2.49,$2.16
12/07/2023,$2.25,31344580,$2.04,$2.29,$1.93
12/06/2023,$2.05,20864660,$2.03,$2.18,$1.99
12/05/2023,$1.99,16716110,$2.07,$2.125,$1.98
12/04/2023,$2.09,24634940,$2.02,$2.22,$2.01
12/01/2023,$2.02,23045670,$1.84,$2.04,$1.80
11/30/2023,$1.86,18935420,$2.00,$2.0092,$1.85
11/29/2023,$1.96,16048600,$1.95,$2.065,$1.94
11/28/2023,$1.93,30206640,$1.95,$1.97,$1.79
11/27/2023,$1.99,15768050,$2.02,$2.02,$1.95
